Task name,Tags,Time Estimate,Start date,Due date,Dependencies,Description,Comments,Custom Field [text] [WBS],Custom Field [drop_down] [Contractor]
ΣΥΝΟΨΗ | 2 Περιβαλλοντικά – ΠΠΔ (ΗΠΜ),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Σύνοψη",,2026-03-30,2026-07-06,,"Summary task (ομαδοποίηση). Μην το χρησιμοποιείς για εκτέλεση — χρησιμεύει για καθαρό WBS/Gantt.
Covers: 2.
Εκτιμώμενος χρόνος: 0d effort + 0d wait = 0d total",,2,
Περιβαλλοντική κατάταξη – Κατηγορία Β & υπαγωγή σε ΠΠΔ (μέσω ΗΠΜ),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά",24h,2026-03-30,2026-04-03,Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"Κατάταξη δραστηριότητας και επιβεβαίωση ότι υπάγεται σε ΠΠΔ (Κατηγορία Β) μέσω ΗΠΜ.
• Παραδοτέα:
  - classification memo
  - list of PPD commitments to apply
  - HPM account/roles readiness
• Ενδεικτική νομική/κανονιστική βάση: ν. 4014/2011 (Κατηγορίες Α/Β), ΗΠΜ ΥΠΕΝ – ψηφιακή διαδικασία για κατηγορία Β/ΠΠΔ
Εκτιμώμενος χρόνος: 3d effort + 2d wait = 5d total",,2.1,
ΣΥΝΟΨΗ | 2.2 Σύνταξη φακέλου ΠΠΔ (μελέτες + πακέτο),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Σύνοψη",,2026-03-30,2026-05-01,,"Summary task (ομαδοποίηση). Μην το χρησιμοποιείς για εκτέλεση — χρησιμεύει για καθαρό WBS/Gantt.
Covers: 2.2.
Εκτιμώμενος χρόνος: 0d effort + 0d wait = 0d total",,2.2,
Μελέτη ΠΠΔ – θόρυβος & δονήσεις (baseline + mitigation),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Θόρυβος",64h,2026-03-30,2026-04-17,Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"Μελέτη θορύβου (HVAC, generators, chillers) με μέτρα μετριασμού εξ αρχής.
• Παραδοτέα:
  - noise model & receptors map
  - mitigation pack (enclosures/barriers)
  - compliance table vs limits
Εκτιμώμενος χρόνος: 8d effort + 7d wait = 15d total",,2.2.1,
Μελέτη ΠΠΔ – εκπομπές (εφεδρικά Η/Ζ) & κίνδυνοι καυσίμου/δεξαμενών,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Εκπομπές, Η/Ζ, Καύσιμο",64h,2026-03-30,2026-04-17,Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"Τεκμηρίωση εκπομπών (εφεδρικές γεννήτριες) και risk δεξαμενών καυσίμου/διαρροών.
• Παραδοτέα:
  - emissions assumptions & runtime
  - stack arrangement concept
  - spill prevention/secondary containment concept
Εκτιμώμενος χρόνος: 8d effort + 7d wait = 15d total",,2.2.2,
Μελέτη ΠΠΔ – ύδρευση & αποχέτευση (ΔΕΥΑ/ΒΙΠΕ interface),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Ύδρευση, Αποχέτευση",48h,2026-03-30,2026-04-10,Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"Υδροδότηση/αποχέτευση: απαιτήσεις, σύνδεση σε δίκτυα ΒΙΠΕ/ΔΕΥΑ, εκτιμώμενες παροχές.
• Παραδοτέα:
  - water balance
  - wastewater characterization (if any)
  - connection points & notes
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,2.2.3,
Μελέτη ΠΠΔ – σχέδιο διαχείρισης αποβλήτων (WEEE – μπαταρίες – λιπαντικά – συσκευασίες),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Απόβλητα",48h,2026-03-30,2026-04-10,Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"Σχέδιο διαχείρισης αποβλήτων (ιδίως μπαταρίες, λιπαντικά, WEEE, φίλτρα, συσκευασίες).
• Παραδοτέα:
  - waste streams register
  - contracts list (licensed collectors)
  - storage/segregation plan
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,2.2.4,
Πακέτο ΠΠΔ – Σχέδιο Περιβαλλοντικής Διαχείρισης & πίνακας δεσμεύσεων,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά",48h,2026-04-06,2026-04-17,Περιβαλλοντική κατάταξη – Κατηγορία Β & υπαγωγή σε ΠΠΔ (μέσω ΗΠΜ),"Σύνθεση ΠΠΔ commitments και σχέδιο περιβαλλοντικής διαχείρισης (monitoring/logs).
• Παραδοτέα:
  - PPD commitments matrix
  - EMP (monitoring, training, incident response)
  - HSE baseline procedures
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,2.2.5,
Σύνθεση φακέλου ΠΠΔ v1 – έντυπα – σχέδια – συνημμένα,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά",64h,2026-04-20,2026-05-01,Μελέτη ΠΠΔ – θόρυβος & δονήσεις (baseline + mitigation); Μελέτη ΠΠΔ – εκπομπές (εφεδρικά Η/Ζ) & κίνδυνοι καυσίμου/δεξαμενών; Μελέτη ΠΠΔ – ύδρευση & αποχέτευση (ΔΕΥΑ/ΒΙΠΕ interface); Μελέτη ΠΠΔ – σχέδιο διαχείρισης αποβλήτων (WEEE – μπαταρίες – λιπαντικά – συσκευασίες); Πακέτο ΠΠΔ – Σχέδιο Περιβαλλοντικής Διαχείρισης & πίνακας δεσμεύσεων; Τοπογραφικό – όρια & σημεία σύνδεσης παροχών (ΒΙΠΕ),"Συγκέντρωση φακέλου ΠΠΔ και τελικών συνημμένων για υποβολή στο ΗΠΜ.
• Παραδοτέα:
  - έντυπα/υπεύθυνες δηλώσεις
  - τεχνική περιγραφή δραστηριότητας
  - site plan + layouts
  - προμελέτη Η/Μ – SLD concept
  - μελέτες (θόρυβος/εκπομπές/νερά/απόβλητα)
  - GIS/τοπογραφικά αρχεία
• Ενδεικτική νομική/κανονιστική βάση: ΗΠΜ ΥΠΕΝ (κατηγορία Β), ΠΠΔ κατά ν. 4014/2011
Εκτιμώμενος χρόνος: 8d effort + 2d wait = 10d total",,2.2.6,
Υποβολή ΠΠΔ στο ΗΠΜ – έλεγχος ανάρτησης (submission),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Ορόσημο",8h,2026-05-04,2026-05-04,Σύνθεση φακέλου ΠΠΔ v1 – έντυπα – σχέδια – συνημμένα,"Υποβολή φακέλου ΠΠΔ στο ΗΠΜ και έλεγχος σωστής ανάρτησης αρχείων.
• Παραδοτέα:
  - submission ID/protocol
  - export of submission package
Εκτιμώμενος χρόνος: 1d effort + 0d wait = 1d total",,2.3,
Έλεγχος πληρότητας ΠΠΔ – αναμονή υπηρεσίας (1ος κύκλος),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά",16h,2026-05-05,2026-06-01,Υποβολή ΠΠΔ στο ΗΠΜ – έλεγχος ανάρτησης (submission),"Παρακολούθηση ελέγχου πληρότητας – απαντήσεις σε ερωτήματα.
• Παραδοτέα:
  - questions log
  - requests for clarifications (if any)
Εκτιμώμενος χρόνος: 2d effort + 18d wait = 20d total",,2.4,
Διευκρινίσεις ΠΠΔ – πακέτο διορθώσεων (rev.1),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά",64h,2026-06-02,2026-06-22,Έλεγχος πληρότητας ΠΠΔ – αναμονή υπηρεσίας (1ος κύκλος),"Διορθώσεις/συμπληρώσεις φακέλου ΠΠΔ – επανυποβολή.
• Παραδοτέα:
  - revised drawings/notes
  - updated commitments matrix
  - reply letter
Εκτιμώμενος χρόνος: 8d effort + 7d wait = 15d total",,2.5,
ΠΠΔ: επιβεβαίωση πληρότητας/καταχώρισης – ορόσημο,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Περιβαλλοντικά, Ορόσημο",8h,2026-06-23,2026-07-06,Διευκρινίσεις ΠΠΔ – πακέτο διορθώσεων (rev.1),"Ορόσημο: επιβεβαίωση πληρότητας/καταχώρισης υπαγωγής σε ΠΠΔ στο ΗΠΜ.
• Παραδοτέα:
  - confirmation in ΗΠΜ
  - data room update
Εκτιμώμενος χρόνος: 1d effort + 9d wait = 10d total",,2.6,
ΣΥΝΟΨΗ | 4 Σύνδεση στο δίκτυο (φορτίο) – προσφορά & αποδοχή,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Σύνοψη",,2026-04-13,2027-03-02,,"Summary task (ομαδοποίηση). Μην το χρησιμοποιείς για εκτέλεση — χρησιμεύει για καθαρό WBS/Gantt.
Covers: 4.
Εκτιμώμενος χρόνος: 0d effort + 0d wait = 0d total",,4,
Στρατηγική σύνδεσης – επιλογή Διαχειριστή (ΔΕΔΔΗΕ ΜΤ default) – επίπεδο τάσης – concept,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",48h,2026-04-13,2026-04-24,Προφίλ φορτίου & growth plan (MW/MVA) – στρατηγική ψύξης – στόχοι διαθεσιμότητας,"Επιλογή Διαχειριστή/επιπέδου τάσης (default: ΔΕΔΔΗΕ ΜΤ) και concept σύνδεσης.
• Παραδοτέα:
  - grid strategy memo
  - connection one-line (concept)
  - phasing notes
  - required capacity statement
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,4.1,
Προ-συνάντηση με Διαχειριστή – έλεγχος χωρητικότητας – διαδρομή αίτησης,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",40h,2026-04-27,2026-05-15,Στρατηγική σύνδεσης – επιλογή Διαχειριστή (ΔΕΔΔΗΕ ΜΤ default) – επίπεδο τάσης – concept,"Προκαταρκτική τεχνική συνάντηση/αλληλογραφία για χωρητικότητα και format φακέλου.
• Παραδοτέα:
  - minutes/email trail
  - requested docs list
  - queue position guidance (if any)
Εκτιμώμενος χρόνος: 5d effort + 10d wait = 15d total",,4.2,
Σύνταξη φακέλου αίτησης σύνδεσης φορτίου – τεχνικά – νομικά – γεωχωρικά,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",96h,2026-05-18,2026-06-12,Προ-συνάντηση με Διαχειριστή – έλεγχος χωρητικότητας – διαδρομή αίτησης; Τοπογραφικό – όρια & σημεία σύνδεσης παροχών (ΒΙΠΕ); Προφίλ φορτίου & growth plan (MW/MVA) – στρατηγική ψύξης – στόχοι διαθεσιμότητας,"Σύνταξη φακέλου αίτησης σύνδεσης φορτίου (παροχή ΜΤ/ΥΤ ανά περίπτωση).
• Παραδοτέα:
  - έντυπο αίτησης
  - τεχνική περιγραφή φορτίου
  - SLD/protection concept
  - site plan + υποσταθμός concept
  - τοπογραφικά/GIS
  - νομιμοποιητικά εταιρίας
  - έγγραφα γηπέδου/ΒΙΠΕ
Εκτιμώμενος χρόνος: 12d effort + 8d wait = 20d total",,4.3,
Υποβολή αίτησης σύνδεσης (portal/πρωτόκολλο),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",8h,2026-06-15,2026-06-15,Σύνταξη φακέλου αίτησης σύνδεσης φορτίου – τεχνικά – νομικά – γεωχωρικά,"Υποβολή αίτησης σύνδεσης και λήψη πρωτοκόλλου.
• Παραδοτέα:
  - protocol/ID
  - submission export
Εκτιμώμενος χρόνος: 1d effort + 0d wait = 1d total",,4.4,
Έλεγχος πληρότητας (Διαχειριστής) – 1ος κύκλος,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",16h,2026-06-16,2026-07-13,Υποβολή αίτησης σύνδεσης (portal/πρωτόκολλο),"Έλεγχος πληρότητας από Διαχειριστή (1ος κύκλος).
• Παραδοτέα:
  - questions/deficiencies log
Εκτιμώμενος χρόνος: 2d effort + 18d wait = 20d total",,4.5,
Διευκρινίσεις – διορθώσεις φακέλου σύνδεσης (rev.1),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",48h,2026-07-14,2026-07-27,Έλεγχος πληρότητας (Διαχειριστής) – 1ος κύκλος,"Συμπληρώσεις/διορθώσεις στον φάκελο σύνδεσης.
• Παραδοτέα:
  - updated SLD/notes
  - reply letter
  - additional documents
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,4.6,
Αποδοχή πληρότητας από Διαχειριστή – ορόσημο,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο, Ορόσημο",8h,2026-07-28,2026-08-10,Διευκρινίσεις – διορθώσεις φακέλου σύνδεσης (rev.1),"Ορόσημο: αποδοχή πληρότητας αιτήματος σύνδεσης από Διαχειριστή.
• Παραδοτέα:
  - completeness confirmation
Εκτιμώμενος χρόνος: 1d effort + 9d wait = 10d total",,4.7,
Διαχείριση ουράς Διαχειριστή – επίσημα αιτήματα & follow-ups (worst-case),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",48h,2026-08-11,2026-11-02,Αποδοχή πληρότητας από Διαχειριστή – ορόσημο,"Διαχείριση ουράς/επίσημων αιτημάτων και SLA follow-ups.
• Παραδοτέα:
  - formal correspondence log
  - escalation notes
Εκτιμώμενος χρόνος: 6d effort + 54d wait = 60d total",,4.8.1,
Τεχνικές διευκρινίσεις με Διαχειριστή – προστασίες – ορισμός έργων (worst-case),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",48h,2026-11-03,2027-01-25,Διαχείριση ουράς Διαχειριστή – επίσημα αιτήματα & follow-ups (worst-case),"Κύκλοι διευκρινίσεων έως κλείδωμα όρων.
• Παραδοτέα:
  - final SLD/protection notes
  - works scope (operator & customer)
  - cost assumptions
Εκτιμώμενος χρόνος: 6d effort + 54d wait = 60d total",,4.8.2,
Έκδοση προσφοράς/όρων σύνδεσης (Offer) – ορόσημο,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο, Ορόσημο",,2027-01-26,2027-01-26,Τεχνικές διευκρινίσεις με Διαχειριστή – προστασίες – ορισμός έργων (worst-case),"Ορόσημο: έκδοση προσφοράς/όρων σύνδεσης (ΟΠΣ/Offer).
• Παραδοτέα:
  - offer letter
  - technical terms
  - commercial terms
Εκτιμώμενος χρόνος: 0d effort + 1d wait = 1d total",,4.9,
Εσωτερική αξιολόγηση προσφοράς – εγγυήσεις – readiness check (δέσιμο με ΠΠΔ),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",64h,2027-01-27,2027-02-23,Έκδοση προσφοράς/όρων σύνδεσης (Offer) – ορόσημο; ΠΠΔ: επιβεβαίωση πληρότητας/καταχώρισης – ορόσημο,"Εσωτερική αξιολόγηση όρων και προετοιμασία εγγυήσεων/πληρωμών. Δέσιμο με ΠΠΔ για de-risk.
• Παραδοτέα:
  - internal memo
  - board approvals (if needed)
  - guarantee instruments prep
Εκτιμώμενος χρόνος: 8d effort + 12d wait = 20d total",,4.10,
Αποδοχή προσφοράς σύνδεσης – υπογραφή & εγγυήσεις,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-ΣύνδεσηΔικτύου, Δίκτυο",24h,2027-02-24,2027-03-02,Εσωτερική αξιολόγηση προσφοράς – εγγυήσεις – readiness check (δέσιμο με ΠΠΔ),"Αποδοχή προσφοράς/όρων σύνδεσης – υπογραφή/εγγυήσεις/τέλη.
• Παραδοτέα:
  - acceptance letter
  - signed agreement (if applicable)
  - proof of guarantees/fees
Εκτιμώμενος χρόνος: 3d effort + 2d wait = 5d total",,4.11,
