Task Name,WBS,Description,Start Date,Due Date,Estimated Time,Dependencies
Έκδοση Βεβαίωσης Παραγωγού (τελική),2.3,"Έκδοση/ανάρτηση Βεβαίωσης Παραγωγού. • Outputs: απόφαση/κωδικός βεβαίωσης, ενημέρωση data room, επικαιροποίηση παραμέτρων για Grid/ΗΠΜ.",2026-12-07,2026-12-31,2d effort + 18d wait = 20d total,ΡΑΑΕΥ έλεγχος/ερωτήματα/συμπληρώσεις (worst-case κύκλοι)
Κατάταξη έργου & αρμόδια αρχή (Α1 λόγω Natura/ισχύος/γραμμής) + plan συμμόρφωσης,3.1,Κατάταξη σε υποκατηγορία Α1 (worst-case: εντός Natura + μεγάλος σταθμός/όδευση). • Output: memo κατηγορίας/αρμόδιας αρχής (ΔΙΠΑ ΥΠΕΝ) + λίστα απαιτούμενων γνωμοδοτήσεων/μελετών.,2026-04-06,2026-04-17,8d effort + 2d wait = 10d total,Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept
Προ-διαβούλευση με ΔΙΠΑ/Αποκεντρωμένη/ΟΦΥΠΕΚΑ (risk surfacing),3.2,"Προ-διαβούλευση/συντονισμός με ΔΙΠΑ–Αποκεντρωμένη–ΟΦΥΠΕΚΑ/Μονάδα Διαχείρισης. • Outputs: πρακτικά, συμφωνία format/shapefiles, risk list για «κόκκινες» γνωμοδοτήσεις.",2026-04-20,2026-05-15,10d effort + 10d wait = 20d total,Προσφυγή/παραπομπή σε ΠΕΣΠΑ (λόγω αρνητικής/εκπρόθεσμης γνώμης) – συνεδριάσεις
Σύνταξη ΜΠΕ (Α1) + παράρτημα Δέουσας/ΕΟΑ + εναλλακτικές + GIS,3.3,"Σύνταξη ΜΠΕ (Α1) & πακέτο υποβολής. • Περιλαμβάνει: ΜΠΕ, NTS, ΕΟΑ/Δέουσα, χάρτες/τομές, GIS shapefiles, τεχνικές περιγραφές, σχέδια χωροθέτησης/οριζοντιογραφίες συνοδών.",2027-02-26,2027-05-19,55d effort + 5d wait = 60d total,Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept; Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών); Γεωτεχνική προκαταρκτική διερεύνηση (δοκιμές – report); Οικολογικές/ορνιθολογικές καταγραφές 4 εποχών (Natura worst case)
Υποβολή ΜΠΕ στο ΗΠΜ (e-ΠΜ) + τυπικός έλεγχος ανάρτησης,3.4,"Υποβολή στο ΗΠΜ (e-ΠΜ). • Outputs: αριθμός πρωτοκόλλου, ανάρτηση φακέλου, καταχώριση στοιχείων έργου/φορέα/μελετητών.",2027-05-20,2027-05-20,1d effort + 0d wait = 1d total,Σύνταξη ΜΠΕ (Α1) + παράρτημα Δέουσας/ΕΟΑ + εναλλακτικές + GIS
Έλεγχος πληρότητας ΜΠΕ (1ος) – ελλείψεις/αίτημα συμπληρώσεων,3.5,Έλεγχος πληρότητας (1ος) από αρμόδια αρχή. • Outputs: κατάλογος ελλείψεων/αιτήματα συμπλήρωσης μέσω ΗΠΜ.,2027-05-21,2027-07-01,2d effort + 28d wait = 30d total,Υποβολή ΜΠΕ στο ΗΠΜ (e-ΠΜ) + τυπικός έλεγχος ανάρτησης
Συμπληρωματικός φάκελος για πληρότητα (rev.1),3.6,"Συμπλήρωση για πληρότητα (rev.1). • Deliverables: διορθώσεις ΜΠΕ/χαρτών, πρόσθετα σχέδια (π.χ. όδευση), συμπληρωματικές ΥΔ/βεβαιώσεις, επανυποβολή.",2027-07-02,2027-07-29,15d effort + 5d wait = 20d total,Έλεγχος πληρότητας ΜΠΕ (1ος) – ελλείψεις/αίτημα συμπληρώσεων
Έλεγχος πληρότητας ΜΠΕ (2ος) – Λήψη πληρότητας φακέλου (milestone),3.7,Έλεγχος πληρότητας (2ος) & «Λήψη πληρότητας φακέλου» (milestone). • Output: επίσημη αποδοχή πληρότητας στο ΗΠΜ.,2027-07-30,2027-08-26,2d effort + 18d wait = 20d total,Συμπληρωματικός φάκελος για πληρότητα (rev.1)
Διαβίβαση σε φορείς + δημόσια διαβούλευση (extended) & συλλογή γνωμοδοτήσεων,3.8,"Διαβίβαση σε φορείς + δημόσια διαβούλευση (extended worst-case). • Outputs: αποστολές/αναρτήσεις, συγκέντρωση γνωμοδοτήσεων/παρατηρήσεων κοινού, log προθεσμιών.",2027-08-27,2027-12-30,10d effort + 80d wait = 90d total,Έλεγχος πληρότητας ΜΠΕ (2ος) – Λήψη πληρότητας φακέλου (milestone)
Δασικός έλεγχος/χαρτογράφηση + πράξη χαρακτηρισμού/γνωμοδότηση (worst case),4.1,"Δασικό: έλεγχος δασικών χαρτών/χαρακτηρισμών & γνωμοδότηση/πράξη χαρακτηρισμού. • Docs: αίτηση, χάρτες, συντεταγμένες, φωτοερμηνεία, τεχνική περιγραφή επέμβασης.",2026-03-09,2026-07-10,20d effort + 70d wait = 90d total,GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση
Αρχαιολογία: προκαταρκτική γνωμοδότηση + σωστικές δοκιμές/τομές (worst case),4.2,"Αρχαιολογία: γνωμοδότηση + (worst-case) σωστικές δοκιμές/τομές. • Docs/Plans: αίτηση, χάρτες, πρόγραμμα εργασιών, report τομών, μέτρα προστασίας/παρακολούθησης.",2026-06-01,2026-11-13,40d effort + 80d wait = 120d total,Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών)
Μελέτη οριοθέτησης ρέματος & υδραυλική + υποβολή/έγκριση (Ν.4258/2014) – worst case,4.3,"Ρέματα: υδραυλική & οριοθέτηση/έγκριση (worst-case). • Studies/Plans: υδρολογική-υδραυλική, διατομές, υδραυλικά έργα/διευθετήσεις, σχέδια οριογραμμών, φάκελος υποβολής & εγκρίσεις.",2026-06-01,2027-02-05,60d effort + 120d wait = 180d total,Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών)
Natura: Ειδική Οικολογική Αξιολόγηση/Δέουσα Εκτίμηση (τελική) + μέτρα,4.4,"Natura: τελική Ειδική Οικολογική Αξιολόγηση/Δέουσα Εκτίμηση. • Deliverables: πίνακες ειδών/οικοτόπων, σωρευτικές επιπτώσεις, εναλλακτικές, μέτρα αποφυγής/μετριασμού/παρακολούθησης.",2027-02-26,2027-05-20,40d effort + 20d wait = 60d total,Οικολογικές/ορνιθολογικές καταγραφές 4 εποχών (Natura worst case)
Αρνητικές γνωμοδοτήσεις → πρόσθετες εξειδικευμένες έρευνες/επικαιροποίηση (Natura/ρέματα/αρχ.),4.5,"Μετά από αρνητικές γνώμες/παρατηρήσεις: πρόσθετες έρευνες & επικαιροποίηση τεκμηρίωσης. • Deliverables: addenda (Natura, ρέματα, αρχαιολογία), redesign/mitigation pack, ενημέρωση GIS.",2027-12-31,2028-05-06,40d effort + 50d wait = 90d total,Διαβίβαση σε φορείς + δημόσια διαβούλευση (extended) & συλλογή γνωμοδοτήσεων; Δασικός έλεγχος/χαρτογράφηση + πράξη χαρακτηρισμού/γνωμοδότηση (worst case); Αρχαιολογία: προκαταρκτική γνωμοδότηση + σωστικές δοκιμές/τομές (worst case); Μελέτη οριοθέτησης ρέματος & υδραυλική + υποβολή/έγκριση (Ν.4258/2014) – worst case; Natura: Ειδική Οικολογική Αξιολόγηση/Δέουσα Εκτίμηση (τελική) + μέτρα
Απαντήσεις σε γνωμοδοτήσεις + αναθεώρηση ΜΠΕ (rev.2) & τεχνικά μέτρα μετριασμού,3.9,"Σύνταξη απαντήσεων σε γνωμοδοτήσεις & αναθεώρηση ΜΠΕ (rev.2). • Outputs: πίνακας συμμόρφωσης ανά φορέα, αναθεωρημένα σχέδια/όροι, τεκμηρίωση σωρευτικών.",2028-05-07,2028-07-29,35d effort + 25d wait = 60d total,Αρνητικές γνωμοδοτήσεις → πρόσθετες εξειδικευμένες έρευνες/επικαιροποίηση (Natura/ρέματα/αρχ.)
Προσφυγή/παραπομπή σε ΠΕΣΠΑ (λόγω αρνητικής/εκπρόθεσμης γνώμης) – συνεδριάσεις,3.1,"Παραπομπή/προσφυγή σε ΠΕΣΠΑ λόγω αρνητικής/εκπρόθεσμης γνωμοδότησης. • Docs: εισηγητικό, πλήρης φάκελος, πρακτικά συνεδριάσεων, απόφαση αποδοχής/μη αρνητικής γνώμης.",2028-07-30,2028-10-22,10d effort + 50d wait = 60d total,Απαντήσεις σε γνωμοδοτήσεις + αναθεώρηση ΜΠΕ (rev.2) & τεχνικά μέτρα μετριασμού
Κλιμάκωση σε ΚΕΣΠΑ (εφόσον επιμένει αρνητική γνώμη) – συνεδριάσεις,3.11,"Κλιμάκωση σε ΚΕΣΠΑ (τελευταίο στάδιο επίλυσης ενδοδιοικητικά). • Docs: επικαιροποιημένη εισήγηση, πλήρης φάκελος, πρακτικά & απόφαση Συμβουλίου.",2028-10-23,2029-01-10,10d effort + 50d wait = 60d total,Προσφυγή/παραπομπή σε ΠΕΣΠΑ (λόγω αρνητικής/εκπρόθεσμης γνώμης) – συνεδριάσεις
Έκδοση ΑΕΠΟ (Α1) – τελική απόφαση με όρους,3.12,"Έκδοση ΑΕΠΟ (Α1). • Outputs: Απόφαση Έγκρισης Περιβαλλοντικών Όρων, τελικοί όροι/δεσμεύσεις, σχέδιο παρακολούθησης, δημοσίευση/ανάρτηση.",2029-01-11,2029-02-21,5d effort + 25d wait = 30d total,Κλιμάκωση σε ΚΕΣΠΑ (εφόσον επιμένει αρνητική γνώμη) – συνεδριάσεις
Grid: προ-αίτημα/τεχνική συνάντηση με ΑΔΜΗΕ + προκαταρκτικός έλεγχος,5.1,"Grid: προκαταρκτικός έλεγχος/συνάντηση με ΑΔΜΗΕ (επιλογή σημείου/επιπέδου τάσης). • Outputs: τεχνικό σημείωμα εναλλακτικών σύνδεσης, προκαταρκτικά όρια έργων διασύνδεσης.",2026-04-06,2026-05-15,10d effort + 20d wait = 30d total,Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept
Grid: φάκελος αίτησης ΟΠΣ (ΑΔΜΗΕ) – τεχνικά/νομικά/γεωχωρικά,5.2,"Grid: σύνταξη φακέλου αίτησης ΟΠΣ (ΑΔΜΗΕ). • Docs/Plans: έντυπο αίτησης, τεχνική περιγραφή, SLD, layout, όδευση γραμμής/Υ/Σ, τοπογραφικά, τίτλοι/δικαιώματα, Βεβαίωση Παραγωγού, οικονομικά στοιχεία/εγγυήσεις.",2026-12-07,2027-01-15,25d effort + 5d wait = 30d total,Αποδοχή ΟΠΣ στον Διαχειριστή (υπογραφή/εγγυήσεις/παράβολα); Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών); Έκδοση Βεβαίωσης Παραγωγού (τελική)
Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ,5.3,Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ. • Output: αριθμός πρωτοκόλλου/θέση σε ουρά.,2027-01-18,2027-01-18,1d effort + 0d wait = 1d total,Grid: φάκελος αίτησης ΟΠΣ (ΑΔΜΗΕ) – τεχνικά/νομικά/γεωχωρικά
ΑΔΜΗΕ έλεγχος πληρότητας (1ος) – ερωτήματα,5.4,ΑΔΜΗΕ έλεγχος πληρότητας (1ος). • Outputs: ερωτήματα/αιτήματα διόρθωσης.,2027-01-19,2027-03-01,2d effort + 28d wait = 30d total,Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ
Απαντήσεις/συμπλήρωση φακέλου ΟΠΣ (rev.1),5.5,"Απαντήσεις/συμπλήρωση φακέλου (rev.1). • Deliverables: διορθωμένα σχέδια/SLD, πρόσθετα δικαιολογητικά, επικαιροποίηση ισχύος/όδευσης.",2027-03-02,2027-03-29,15d effort + 5d wait = 20d total,ΑΔΜΗΕ έλεγχος πληρότητας (1ος) – ερωτήματα
ΑΔΜΗΕ έλεγχος πληρότητας (2ος) – Λήψη πληρότητας αιτήματος,5.6,ΑΔΜΗΕ έλεγχος πληρότητας (2ος) & «Λήψη πληρότητας αιτήματος» (milestone). • Output: επίσημη αποδοχή φακέλου.,2027-03-30,2027-04-26,2d effort + 18d wait = 20d total,Απαντήσεις/συμπλήρωση φακέλου ΟΠΣ (rev.1)
ΑΔΜΗΕ μελέτες συστήματος/χωρητικότητα/όροι (queue worst-case),5.7,"ΑΔΜΗΕ μελέτες συστήματος & όροι σύνδεσης (queue worst-case). • Outputs: τεχνικοί όροι, απαιτούμενα έργα δικτύου, χρονοδιάγραμμα υλοποίησης έργων διασύνδεσης.",2029-02-22,2029-10-31,20d effort + 160d wait = 180d total,ΑΔΜΗΕ έλεγχος πληρότητας (2ος) – Λήψη πληρότητας αιτήματος; Έκδοση ΑΕΠΟ (Α1) – τελική απόφαση με όρους
Έκδοση Οριστικής Προσφοράς Σύνδεσης (ΟΠΣ),5.8,"Έκδοση ΟΠΣ. • Outputs: Οριστική Προσφορά Σύνδεσης, τεχνικο-οικονομικοί όροι, προθεσμίες/εγγυήσεις.",2029-11-01,2029-11-01,0d effort + 1d wait = 1d total,ΑΔΜΗΕ μελέτες συστήματος/χωρητικότητα/όροι (queue worst-case)
Εσωτερική αξιολόγηση ρίσκου/όρων ΟΠΣ + απόφαση αποδοχής (αναμονή για ΑΕΠΟ),5.9,"Εσωτερική αξιολόγηση ΟΠΣ + αναμονή ολοκλήρωσης ΑΕΠΟ πριν την αποδοχή (commercial de-risking). • Outputs: memo αποδοχής/μη, εγκρίσεις ΔΣ, προετοιμασία εγγυητικών/πληρωμών.",2029-11-04,2030-01-24,15d effort + 45d wait = 60d total,Έκδοση Οριστικής Προσφοράς Σύνδεσης (ΟΠΣ); Έκδοση ΑΕΠΟ (Α1) – τελική απόφαση με όρους
Αποδοχή ΟΠΣ στον Διαχειριστή (υπογραφή/εγγυήσεις/παράβολα),5.1,"Αποδοχή ΟΠΣ. • Docs: επιστολή αποδοχής, υπογραφή συμβατικών, κατάθεση εγγυητικών/παραβόλων (όπου απαιτείται), ενημέρωση project baseline.",2030-01-25,2030-01-31,3d effort + 2d wait = 5d total,Εσωτερική αξιολόγηση ρίσκου/όρων ΟΠΣ + απόφαση αποδοχής (αναμονή για ΑΕΠΟ)
