Task Name,WBS,Dependencies,Description
T11,Γνωμοδότηση από την Υπηρεσία Νεωτέρων Μνημείων,T12,"Workstream: Environmental & Permitting
Practical predecessors: T12 (Τοπογραφικό)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4858/2021 (ΦΕΚ Α’ 220/19.11.2021) – προστασία αρχαιοτήτων/πολιτιστικής κληρονομιάς.
Διαδικασία (πρακτικά):
1) Υποβολή αιτήματος με τοπογραφικό, περιγραφή έργου, σχέδια και φωτογραφίες.
2) Παρακολούθηση όρων (π.χ. αρχαιολογική παρακολούθηση εκσκαφών) και ενσωμάτωση σε εργολαβίες/άδειες.
Παραδοτέο: έγγραφη γνωμοδότηση/όροι.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Environmental & Permitting» όταν τα predecessors το επιτρέπουν."
T12,Τοπογραφικό,T22,"Workstream: Land & Site
Practical predecessors: T22 (Εύρεση γης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) Είσοδος στο γήπεδο για αποτύπωση (με συναίνεση/προσύμφωνο όπου χρειάζεται).
2) Αποτύπωση EGSA’87 + όρια + συντεταγμένες + στοιχεία για διάγραμμα κάλυψης.
3) Παραγωγή χαρτών/κλιμάκων που ζητούνται στο φάκελο ΑΔΜΗΕ.
Παραδοτέο: υπογεγραμμένο τοπογραφικό/χάρτες.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T13,Utilities Constraints Review,T48,"Workstream: Feasibility
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T14,Location Analysis,T48,"Workstream: Feasibility
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T15,Red Flags Analysis,T48,"Workstream: Feasibility
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T16,Power Availability Assessment,T48,"Workstream: Feasibility
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T17,Αγορά γης,"T22, T34","Workstream: Land & Site
Practical predecessors: T22 (Εύρεση γης) · T34 (13_ΕΓΚΡΙΤΙΚΗ ΕΠΙΣΤΟΛΗ ΒΙΠΕ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T18,Final Feasibility Report,"T14, T13, T16, T15","Workstream: Feasibility
Practical predecessors: T14 (Location Analysis) · T13 (Utilities Constraints Review) · T16 (Power Availability Assessment) · T15 (Red Flags Analysis)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T19,Scalable DC Floor Plans,"T20, T12","Workstream: Design
Practical predecessors: T20 (Basis of Design (BoD)) · T12 (Τοπογραφικό)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) BoD: IT load, redundancy, αρχιτεκτονική ηλεκτρικής τροφοδοσίας/ψύξης/πυροπροστασίας.
2) Block diagrams: power train + interfaces, ώστε να στηριχθεί η τεχνική περιγραφή & μονογραμμικό προς ΑΔΜΗΕ.
3) Floor plans: χώροι Υ/Σ/ΗΜ, διαδρομές, μελλοντική επεκτασιμότητα.
Παραδοτέο: package για άδειες + tendering.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Design» όταν τα predecessors το επιτρέπουν."
T20,Basis of Design (BoD),"T16, T14","Workstream: Design
Practical predecessors: T16 (Power Availability Assessment) · T14 (Location Analysis)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) BoD: IT load, redundancy, αρχιτεκτονική ηλεκτρικής τροφοδοσίας/ψύξης/πυροπροστασίας.
2) Block diagrams: power train + interfaces, ώστε να στηριχθεί η τεχνική περιγραφή & μονογραμμικό προς ΑΔΜΗΕ.
3) Floor plans: χώροι Υ/Σ/ΗΜ, διαδρομές, μελλοντική επεκτασιμότητα.
Παραδοτέο: package για άδειες + tendering.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Design» όταν τα predecessors το επιτρέπουν."
T21,Αποδοχή όρων σύνδεσης,"T04, T10","Workstream: Grid / ADMIE
Practical predecessors: T04 (Οριστική Προσφορά Σύνδεση από ΑΔΜΗΕ) · T10 (Κατάθεση συμπληρωματικών στοιχείων ΟΠΣ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T22,Εύρεση γης,T48,"Workstream: Land & Site
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T23,MEP Block Diagrams,T24,"Workstream: Design
Practical predecessors: T24 (Conceptual Block Diagrams)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) BoD: IT load, redundancy, αρχιτεκτονική ηλεκτρικής τροφοδοσίας/ψύξης/πυροπροστασίας.
2) Block diagrams: power train + interfaces, ώστε να στηριχθεί η τεχνική περιγραφή & μονογραμμικό προς ΑΔΜΗΕ.
3) Floor plans: χώροι Υ/Σ/ΗΜ, διαδρομές, μελλοντική επεκτασιμότητα.
Παραδοτέο: package για άδειες + tendering.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Design» όταν τα predecessors το επιτρέπουν."
T24,Conceptual Block Diagrams,T20,"Workstream: Design
Practical predecessors: T20 (Basis of Design (BoD))
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) BoD: IT load, redundancy, αρχιτεκτονική ηλεκτρικής τροφοδοσίας/ψύξης/πυροπροστασίας.
2) Block diagrams: power train + interfaces, ώστε να στηριχθεί η τεχνική περιγραφή & μονογραμμικό προς ΑΔΜΗΕ.
3) Floor plans: χώροι Υ/Σ/ΗΜ, διαδρομές, μελλοντική επεκτασιμότητα.
Παραδοτέο: package για άδειες + tendering.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Design» όταν τα predecessors το επιτρέπουν."
T25,Final Master Plan Package,"T24, T23, T19","Workstream: Design
Practical predecessors: T24 (Conceptual Block Diagrams) · T23 (MEP Block Diagrams) · T19 (Scalable DC Floor Plans)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) BoD: IT load, redundancy, αρχιτεκτονική ηλεκτρικής τροφοδοσίας/ψύξης/πυροπροστασίας.
2) Block diagrams: power train + interfaces, ώστε να στηριχθεί η τεχνική περιγραφή & μονογραμμικό προς ΑΔΜΗΕ.
3) Floor plans: χώροι Υ/Σ/ΗΜ, διαδρομές, μελλοντική επεκτασιμότητα.
Παραδοτέο: package για άδειες + tendering.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Design» όταν τα predecessors το επιτρέπουν."
T26,02_ΥΠΕΥΘΥΝΗ_ΔΗΛΩΣΗ_ΕΚΠΡΟΣΩΠΗΣΗΣ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T27,00_ΕΠΙΣΤΟΛΟΧΑΡΤΟ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T28,01_ΕΝΤΥΠΟ_ΑΙΤΗΣΗΣ_ΠΡΟΣΦΟΡΑΣ ΣΥΝΔΕΣΗΣ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T29,06_ΑΝΑΛΥΤΙΚΟ ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΚΠΡΟΣΩΠΗΣΗΣ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T30,03_ΔΙΚΑΣΤΙΚΗ ΦΕΡΕΓΓΥΟΤΗΤΑ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T31,Κατάθεση αίτησης,"T28, T26, T27, T30, T32, T02, T29, T38, T40, T39, T33, T34, T35, T45","Workstream: Grid / ADMIE
Practical predecessors: T28 (01_ΕΝΤΥΠΟ_ΑΙΤΗΣΗΣ_ΠΡΟΣΦΟΡΑΣ ΣΥΝΔΕΣΗΣ) · T26 (02_ΥΠΕΥΘΥΝΗ_ΔΗΛΩΣΗ_ΕΚΠΡΟΣΩΠΗΣΗΣ) · T27 (00_ΕΠΙΣΤΟΛΟΧΑΡΤΟ) · T30 (03_ΔΙΚΑΣΤΙΚΗ ΦΕΡΕΓΓΥΟΤΗΤΑ) · T32 (04_ΚΑΤΑΣΤΑΤΙΚΟ ΣΥΣΤΑΣΗΣ) · T02 (05_ΓΕΝΙΚΟ ΠΙΣΤΟΠΟΙΗΤΙΚΟ) · T29 (06_ΑΝΑΛΥΤΙΚΟ ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΚΠΡΟΣΩΠΗΣΗΣ) · T38 (07_ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΚΠΡΟΣΩΠΗΣΗΣ) · T40 (08_ΤΟΠΟΓΡΑΦΙΚΟ) · T39 (09_1:50.000) · T33 (10_ΧΑΡΤΗΣ ΓΥΣ) · T34 (13_ΕΓΚΡΙΤΙΚΗ ΕΠΙΣΤΟΛΗ ΒΙΠΕ) · T35 (12_ΗΛΕΚΤΡΙΚΟ_ΜΟΝΟΓΡΑΜΜΙΚΟ_ΔΙΑΓΡΑΜΜΑ) · T45 (Τεχνική Περιγραφή του Υ/Σ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
