Task Name,WBS,Dependencies,Description,Start Date,Due Date,Estimated Time in day
T11,Γνωμοδότηση από την Υπηρεσία Νεωτέρων Μνημείων,T12,"Workstream: Other
Σκοπός: Απαιτούμενες γνωμοδοτήσεις ΥΠΠΟ (όπου ζητούνται) βάσει θέσης/επεμβάσεων.
Νομοθεσία/Κανονιστικό: ν.4858/2021 (ΦΕΚ Α’ 220/19.11.2021) – Κώδικας προστασίας αρχαιοτήτων & πολιτιστικής κληρονομιάς (γνωμοδοτήσεις ΥΠΠΟ/Εφορείες)
Key: T11
Prerequisites (by Task Name keys): T12",2026-03-10,2026-04-20,30
T12,Τοπογραφικό,T22,"Workstream: Land & Site
Σκοπός: Παραδοτέο/βήμα έργου.
Παραδοτέα: αποτύπωση/όρια, ΕΓΣΑ'87, υψομετρικά, σημεία αναφοράς.
Key: T12
Prerequisites (by Task Name keys): T22",2026-02-24,2026-03-09,10
T13,Utilities Constraints Review,T48,"Workstream: Feasibility
Σκοπός: Feasibility deliverable για μείωση ρίσκου πριν κλειδώσει το concept.
Παραδοτέα: memo/πίνακες περιορισμών, παραδοχές, ερωτήματα προς φορείς, updated risk log.
Key: T13
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-09,5
T14,Location Analysis,T48,"Workstream: Feasibility
Σκοπός: Feasibility deliverable για μείωση ρίσκου πριν κλειδώσει το concept.
Παραδοτέα: memo/πίνακες περιορισμών, παραδοχές, ερωτήματα προς φορείς, updated risk log.
Key: T14
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-09,5
T15,Red Flags Analysis,T48,"Workstream: Feasibility
Σκοπός: Feasibility deliverable για μείωση ρίσκου πριν κλειδώσει το concept.
Παραδοτέα: memo/πίνακες περιορισμών, παραδοχές, ερωτήματα προς φορείς, updated risk log.
Key: T15
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-05,3
T16,Power Availability Assessment,T48,"Workstream: Feasibility
Σκοπός: Feasibility deliverable για μείωση ρίσκου πριν κλειδώσει το concept.
Παραδοτέα: memo/πίνακες περιορισμών, παραδοχές, ερωτήματα προς φορείς, updated risk log.
Key: T16
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-16,10
T17,Αγορά γης,"T22, T34","Workstream: Land & Site
Σκοπός: Εξασφάλιση οικοπέδου/συμβατότητας ΒΙΠΕ ώστε να ξεκινήσει νόμιμα ο σχεδιασμός & οι αιτήσεις.
Παραδοτέα: συμβόλαια/κτηματολόγιο, μεταγραφές, όροι/servitudes, option (αν υπάρχει).
Key: T17
Prerequisites (by Task Name keys): T22, T34",2026-03-12,2026-04-15,25
T18,Final Feasibility Report,"T14, T13, T16, T15","Workstream: Feasibility
Σκοπός: Feasibility deliverable για μείωση ρίσκου πριν κλειδώσει το concept.
Παραδοτέα: consolidated report, go/no-go, action list, assumptions freeze.
Key: T18
Prerequisites (by Task Name keys): T14, T13, T16, T15",2026-02-17,2026-02-19,3
T19,Scalable DC Floor Plans,"T20, T12","Workstream: Design
Σκοπός: Κλείδωμα τεχνικού concept ώστε να προχωρήσουν περιβαλλοντικό/πολεοδομικό και αίτηση σύνδεσης.
Παραδοτέα: floor plans, phasing, white/gray space, routes MEP, scalability.
Key: T19
Prerequisites (by Task Name keys): T20, T12",2026-03-10,2026-03-25,12
T20,Basis of Design (BoD),"T16, T14","Workstream: Design
Σκοπός: Κλείδωμα τεχνικού concept ώστε να προχωρήσουν περιβαλλοντικό/πολεοδομικό και αίτηση σύνδεσης.
Παραδοτέα: BoD (IT load, redundancy, MEP philosophy, space/expandability assumptions).
Key: T20
Prerequisites (by Task Name keys): T16, T14",2026-02-17,2026-03-09,15
T21,Αποδοχή όρων σύνδεσης,"T04, T10","Workstream: Grid / ADMIE
Σκοπός: Αποδοχή ΟΠΣ εντός προθεσμιών ώστε να κλειδώσει η δυνατότητα σύμβασης σύνδεσης.
Παραδοτέα: submit αποδοχής + εσωτερικό checklist και deadlines.
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T21
Prerequisites (by Task Name keys): T04, T10",2026-06-26,2026-06-30,3
T22,Εύρεση γης,T48,"Workstream: Land & Site
Σκοπός: Εξασφάλιση οικοπέδου/συμβατότητας ΒΙΠΕ ώστε να ξεκινήσει νόμιμα ο σχεδιασμός & οι αιτήσεις.
Παραδοτέα: shortlist οικοπέδων, έλεγχος χρήσεων/βαρών, πρόταση επιλογής.
Key: T22
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-23,15
T23,MEP Block Diagrams,T24,"Workstream: Design
Σκοπός: Κλείδωμα τεχνικού concept ώστε να προχωρήσουν περιβαλλοντικό/πολεοδομικό και αίτηση σύνδεσης.
Παραδοτέα: MEP diagrams (single line concepts, cooling loops, controls).
Key: T23
Prerequisites (by Task Name keys): T24",2026-03-19,2026-04-01,10
T24,Conceptual Block Diagrams,T20,"Workstream: Design
Σκοπός: Κλείδωμα τεχνικού concept ώστε να προχωρήσουν περιβαλλοντικό/πολεοδομικό και αίτηση σύνδεσης.
Παραδοτέα: block diagrams (power chain, cooling, network) με επίπεδα εφεδρείας.
Key: T24
Prerequisites (by Task Name keys): T20",2026-03-10,2026-03-18,7
T25,Final Master Plan Package,"T24, T23, T19","Workstream: Design
Σκοπός: Κλείδωμα τεχνικού concept ώστε να προχωρήσουν περιβαλλοντικό/πολεοδομικό και αίτηση σύνδεσης.
Παραδοτέα: master plan package (drawings set + design narrative) για ΠΠΔ/άδεια/ΑΔΜΗΕ.
Key: T25
Prerequisites (by Task Name keys): T24, T23, T19",2026-04-02,2026-04-08,5
T26,02_ΥΠΕΥΘΥΝΗ_ΔΗΛΩΣΗ_ΕΚΠΡΟΣΩΠΗΣΗΣ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T26
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T27,00_ΕΠΙΣΤΟΛΟΧΑΡΤΟ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T27
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T28,01_ΕΝΤΥΠΟ_ΑΙΤΗΣΗΣ_ΠΡΟΣΦΟΡΑΣ ΣΥΝΔΕΣΗΣ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T28
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T29,06_ΑΝΑΛΥΤΙΚΟ ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΚΠΡΟΣΩΠΗΣΗΣ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T29
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T30,03_ΔΙΚΑΣΤΙΚΗ ΦΕΡΕΓΓΥΟΤΗΤΑ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T30
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T31,Κατάθεση αίτησης,"T28, T26, T27, T30, T32, T02, T29, T38, T40, T39, T33, T34, T35, T45","Workstream: Grid / ADMIE
Σκοπός: Υποβολή και τυπικός έλεγχος πληρότητας φακέλου προς ΑΔΜΗΕ.
Παραδοτέα: αποδεικτικό υποβολής, λίστα ελλείψεων/διευκρινίσεων (αν υπάρχουν).
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T31
Prerequisites (by Task Name keys): T28, T26, T27, T30, T32, T02, T29, T38, T40, T39, T33, T34, T35, T45",2026-03-12,2026-03-12,1
T32,04_ΚΑΤΑΣΤΑΤΙΚΟ ΣΥΣΤΑΣΗΣ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T32
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T33,10_ΧΑΡΤΗΣ ΓΥΣ,T22,"Workstream: Land & Site
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T33
Prerequisites (by Task Name keys): T22",2026-02-24,2026-02-25,2
T34,13_ΕΓΚΡΙΤΙΚΗ ΕΠΙΣΤΟΛΗ ΒΙΠΕ,T42,"Workstream: Land & Site
Σκοπός: Εξασφάλιση οικοπέδου/συμβατότητας ΒΙΠΕ ώστε να ξεκινήσει νόμιμα ο σχεδιασμός & οι αιτήσεις.
Παραδοτέα: εγκριτική επιστολή/έγγραφο ΒΙΠΕ για χρήση στη δέσμη αιτήσεων.
Key: T34
Prerequisites (by Task Name keys): T42",2026-03-10,2026-03-11,2
T35,12_ΗΛΕΚΤΡΙΚΟ_ΜΟΝΟΓΡΑΜΜΙΚΟ_ΔΙΑΓΡΑΜΜΑ,T45,"Workstream: Grid / ADMIE
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T35
Prerequisites (by Task Name keys): T45",2026-03-09,2026-03-10,2
T36,Υποβολή μετρήσεων ειδικής αντίστασης εδάφους στον ΑΔΜΗΕ. H έκταση πρέπει να εξασφαλιστεί με προσύμφωνο μίσθωσης και option αγοράς του όταν λάβουμε όρους σύνδεσης,"T31, T22","Workstream: Grid / ADMIE
Σκοπός: Μετρήσεις/τεκμηρίωση soil resistivity για αξιολόγηση καταλληλότητας θέσης Υ/Σ.
Παραδοτέα: report μετρήσεων ρ(soil), raw δεδομένα, συμπεράσματα γείωσης.
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T36
Prerequisites (by Task Name keys): T31, T22",2026-03-13,2026-03-23,7
T37,Πληρότητα Φακέλου,T31,"Workstream: Grid / ADMIE
Σκοπός: Υποβολή και τυπικός έλεγχος πληρότητας φακέλου προς ΑΔΜΗΕ.
Παραδοτέα: αποδεικτικό υποβολής, λίστα ελλείψεων/διευκρινίσεων (αν υπάρχουν).
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T37
Prerequisites (by Task Name keys): T31",2026-03-13,2026-04-02,15
T38,07_ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΚΠΡΟΣΩΠΗΣΗΣ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T38
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T39,09_1:50.000,T33,"Workstream: Land & Site
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T39
Prerequisites (by Task Name keys): T33",2026-02-26,2026-02-27,2
T40,08_ΤΟΠΟΓΡΑΦΙΚΟ,T12,"Workstream: Land & Site
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Παραδοτέα: τελικό τοπογραφικό διάγραμμα για φάκελο/αιτήσεις.
Key: T40
Prerequisites (by Task Name keys): T12",2026-03-10,2026-03-11,2
T41,Έγκριση καταλληλότητας από ΑΔΜΗΕ,T36,"Workstream: Grid / ADMIE
Σκοπός: Απόφαση ΑΔΜΗΕ για καταλληλότητα θέσης/λύσης ώστε να ξεκινήσει μελέτη διάταξης.
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T41
Prerequisites (by Task Name keys): T36",2026-03-24,2026-04-13,15
T42,Βεβαίωση συμβατότητας από την ΕΤΒΑ,T22,"Workstream: Land & Site
Σκοπός: Εξασφάλιση οικοπέδου/συμβατότητας ΒΙΠΕ ώστε να ξεκινήσει νόμιμα ο σχεδιασμός & οι αιτήσεις.
Παραδοτέα: έγγραφη βεβαίωση/όροι συμβατότητας ΒΙΠΕ.
Key: T42
Prerequisites (by Task Name keys): T22",2026-02-24,2026-03-09,10
T43,Τοπογραφικό Διάγραμμα οικοπέδου,T12,"Workstream: Other
Σκοπός: Παραδοτέο/βήμα έργου.
Παραδοτέα: τελικό τοπογραφικό διάγραμμα για φάκελο/αιτήσεις.
Key: T43
Prerequisites (by Task Name keys): T12",2026-03-10,2026-03-12,3
T44,Γνωμοδότηση από την Εφορεία Αρχαιοτήτων,T12,"Workstream: Other
Σκοπός: Απαιτούμενες γνωμοδοτήσεις ΥΠΠΟ (όπου ζητούνται) βάσει θέσης/επεμβάσεων.
Νομοθεσία/Κανονιστικό: ν.4858/2021 (ΦΕΚ Α’ 220/19.11.2021) – Κώδικας προστασίας αρχαιοτήτων & πολιτιστικής κληρονομιάς (γνωμοδοτήσεις ΥΠΠΟ/Εφορείες)
Key: T44
Prerequisites (by Task Name keys): T12",2026-03-10,2026-04-20,30
T45,Τεχνική Περιγραφή του Υ/Σ,"T08, T16","Workstream: Grid / ADMIE
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T45
Prerequisites (by Task Name keys): T08, T16",2026-03-05,2026-03-06,2
T46,Διάγραμμα κάλυψης της εγκατάστασης,T06,"Workstream: Other
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T46
Prerequisites (by Task Name keys): T06",2026-04-06,2026-04-07,2
T47,Διασυνδετική Γραμμή,,"Workstream: Other
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T47",2026-02-02,2026-02-13,10
T48,KICK OFF,,"Workstream: Program
Σκοπός: Έναρξη έργου: ορισμός ομάδας/ρόλων, scope, milestones, κανάλια επικοινωνίας, data room.
Παραδοτέα: Project charter, RACI, milestone plan, data room structure, kick-off minutes.
Key: T48",2026-02-02,2026-02-02,1
T49,FEASIBILITY STUDY,T18,"Workstream: Feasibility
Σκοπός: Σύνθεση feasibility και επιβεβαίωση go/no-go.
Key: T49
Prerequisites (by Task Name keys): T18",2026-02-20,2026-02-20,1
T50,LAND,T48,"Workstream: Land & Site
Σκοπός: Εξασφάλιση οικοπέδου/συμβατότητας ΒΙΠΕ ώστε να ξεκινήσει νόμιμα ο σχεδιασμός & οι αιτήσεις.
Key: T50
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-03,1
T51,BUSINESS PLAN,T48,"Workstream: Feasibility
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T51
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-03,1
T52,MASTER PLAN,T25,"Workstream: Design
Σκοπός: Κλείδωμα τεχνικού concept ώστε να προχωρήσουν περιβαλλοντικό/πολεοδομικό και αίτηση σύνδεσης.
Key: T52
Prerequisites (by Task Name keys): T25",2026-04-09,2026-04-09,1
T53,Οριστική Προσφορά Σύνδεσης (ΟΠΣ),T03,"Workstream: Grid / ADMIE
Σκοπός: Έκδοση ΟΠΣ: όροι, τεχνικά/οικονομικά, χρονοδιάγραμμα έργων σύνδεσης.
Παραδοτέα: ΟΠΣ (όροι/σχέδια/οικονομικά/προθεσμίες) + υποχρεώσεις/ρίσκα.
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T53
Prerequisites (by Task Name keys): T03",2026-06-16,2026-06-16,1
T54,Αίτηση Σύναψης Σύμβασης Σύνδεσης,T21,"Workstream: Grid / ADMIE
Σκοπός: Έναρξη διαδικασίας σύμβασης σύνδεσης (μετά την αποδοχή ΟΠΣ).
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T54
Prerequisites (by Task Name keys): T21",2026-07-01,2026-07-01,1
T55,Απόφαση Έγκρισης Περιβαλλοντικών Όρων (ΠΠΔ) Υ/Σ,"T01, T45","Workstream: Other
Σκοπός: Υπαγωγή σε ΠΠΔ (Κατηγορία Β) για Data Center σε ΒΙΠΕ, με πλήρη φάκελο και τήρηση δεσμεύσεων.
Νομοθεσία/Κανονιστικό: ν.4014/2011 (άρθρο 8 ΠΠΔ) + ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/23-07-2025 (ΦΕΚ Β’ 4095/29.07.2025) – Πρότυπες Περιβαλλοντικές Δεσμεύσεις (ΠΠΔ) για Κέντρα Δεδομένων
Διαδικασία: υποβολή/δήλωση υπαγωγής σε ΠΠΔ (Κατηγ. Β) → έλεγχος πληρότητας → πράξη υπαγωγής → τήρηση ΠΠΔ.
Key: T55
Prerequisites (by Task Name keys): T01, T45",2026-04-30,2026-05-01,2
T56,Απόφαση Έγκρισης Περιβαλλοντικών Όρων (ΠΠΔ),T09,"Workstream: Other
Σκοπός: Υπαγωγή σε ΠΠΔ (Κατηγορία Β) για Data Center σε ΒΙΠΕ, με πλήρη φάκελο και τήρηση δεσμεύσεων.
Παραδοτέα: τελική πράξη υπαγωγής/έγκρισης ΠΠΔ (DC) για χρήση σε άδεια/γνωστοποίηση.
Νομοθεσία/Κανονιστικό: ν.4014/2011 (άρθρο 8 ΠΠΔ) + ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/23-07-2025 (ΦΕΚ Β’ 4095/29.07.2025) – Πρότυπες Περιβαλλοντικές Δεσμεύσεις (ΠΠΔ) για Κέντρα Δεδομένων
Διαδικασία: υποβολή/δήλωση υπαγωγής σε ΠΠΔ (Κατηγ. Β) → έλεγχος πληρότητας → πράξη υπαγωγής → τήρηση ΠΠΔ.
Key: T56
Prerequisites (by Task Name keys): T09",2026-05-28,2026-05-29,2
T57,Πιστοποιητικό Πυρασφάλειας - Ιωάννινα,T58,"Workstream: Other
Σκοπός: Μελέτη/έγκριση και πιστοποιητικό ενεργητικής πυροπροστασίας πριν τη λειτουργία.
Παραδοτέα: πιστοποιητικό/έγκριση πυροπροστασίας.
Νομοθεσία/Κανονιστικό: Απόφαση 69019 οικ. Φ.700.13/29.11.2021 (ΦΕΚ Β’ 5519) – Έγκριση Πυροσβεστικής Διάταξης 13/2021 (διοικητικές πράξεις πυροπροστασίας)
Διαδικασία: μελέτη/εγκατάσταση μέτρων πυροπροστασίας → έλεγχος → πιστοποιητικό.
Key: T57
Prerequisites (by Task Name keys): T58",2026-09-07,2026-10-02,20
T58,Άδεια Εγκατάστασης Η/Μ,T59,"Workstream: Other
Σκοπός: Άδεια εγκατάστασης Η/Μ εγκαταστάσεων σύμφωνα με τις απαιτήσεις γνωστοποίησης/ελέγχων.
Key: T58
Prerequisites (by Task Name keys): T59",2026-08-03,2026-09-04,25
T59,Οικοδομική Άδεια,"T25, T43, T46, T07, T56, T44, T11","Workstream: Other
Σκοπός: Άδεια δόμησης: πλήρης φάκελος e-Άδειες, σχέδια, μελέτες, εγκρίσεις.
Παραδοτέα: άδεια δόμησης + εγκεκριμένα σχέδια/μελέτες.
Νομοθεσία/Κανονιστικό: ν.4495/2017 (άρθρα 36–40 – διαδικασία/δικαιολογητικά άδειας δόμησης μέσω e-Άδειες) + ν.4067/2012 (ΝΟΚ – Νέος Οικοδομικός Κανονισμός)
Διαδικασία: φάκελος e-Άδειες (σχέδια/μελέτες/εγκρίσεις) → έκδοση άδειας δόμησης.
Key: T59
Prerequisites (by Task Name keys): T25, T43, T46, T07, T56, T44, T11",2026-06-01,2026-07-31,45
T60,Τελική νομιμοποίηση λειτουργίας Data Center μέσω ηλεκτρονικής γνωστοποίησης,"T57, T58, T56","Workstream: Other
Σκοπός: Ηλεκτρονική γνωστοποίηση λειτουργίας Data Center (η νόμιμη έναρξη λειτουργίας).
Παραδοτέα: αριθμός γνωστοποίησης + φάκελος δικαιολογητικών στο χώρο.
Νομοθεσία/Κανονιστικό: ν.4442/2016 (Κεφάλαιο ΜΓ’ – πλαίσιο λειτουργίας Data Centers) + ΚΥΑ 96038/06.12.2024 (ΦΕΚ Β’ 7589) – Γνωστοποίηση λειτουργίας Data Centers (διαδικασία/δικαιολογητικά/παράβολο/κυρώσεις)
Διαδικασία: ηλεκτρονική γνωστοποίηση πριν την έναρξη λειτουργίας· τα δικαιολογητικά τηρούνται στο χώρο για έλεγχο.
Key: T60
Prerequisites (by Task Name keys): T57, T58, T56",2026-10-05,2026-10-06,2
